Wind measures in the laborator coordinates at Time 15:51:48 Date 07/04/07
Analog inputs =  3
NOT A NUMBER = 99.99
number of rows = 302400

  2.28  -0.66   2.45 345.54   139    1  430
  1.06  -1.54   2.65 345.52   139    1  430
  1.21  -1.28   2.22 345.54   137    1  430
  1.32  -0.92   2.54 345.60   137    1  429
  2.41  -0.14   2.62 345.50   139    1  429
  3.06   0.77   2.17 345.48   139    1  429
  2.95  -0.15   3.63 345.44   139    1  230
  2.85  -0.10   3.92 345.46   139    1  230
  2.65  -0.62   3.87 345.46   139    1  230
  2.81  -0.76   4.06 345.46   141    1  230
  2.70   0.35   3.27 345.48   141    1  230
  2.40   0.66   2.57 345.42   143    1  630
  2.08   0.12   2.94 345.44   143    1  630
  2.08  -0.29   3.54 345.46   141    1  230
  2.14   0.11   3.11 345.52   141    1  230
  0.80   0.67   2.54 345.52   136    1   30
  0.94   0.84   2.26 345.52   136    1   30
  1.43   1.20   2.00 345.54   136    1  430
  2.02   1.48   1.85 345.54   141    1  430
  2.49   1.45   2.18 345.60   141    1  430
  1.85   1.32   2.54 345.56   137    1  430
  1.51   1.37   2.77 345.52   137    1  430
  2.31   0.54   3.75 345.50   138    1  230
  2.70   1.54   2.78 345.54   139    1  230
  3.06   0.38   3.14 345.58   139    1  630
  3.01   1.46   1.96 345.68   136    1   30
  2.54   1.04   2.27 345.62   136    1   30
  1.42   3.14  -0.99 345.56   134    1  230
  1.61   2.76   0.13 345.54   134    1  230
  1.43   1.22   1.55 345.58   136    1  230
  0.87   0.43   1.20 345.56   138    1  230
  0.45   0.41   0.76 345.62   138    1  230
  0.54   0.28   0.52 345.56   139    1  630
  0.76   0.46   0.31 345.50   139    1  630
  0.61   0.52   0.18 345.48   136    1  230
  0.68   0.93  -0.13 345.50   136    1  230
  1.26   1.30  -0.18 345.48   143    1  430
  1.98   1.11   0.40 345.50   139    1  430
  3.52   1.07   0.56 345.60   139    1  829
  5.64   1.22   0.56 345.54   137    1  629
  5.43   1.98   0.27 345.60   137    1  629
  6.06   2.17   0.72 345.58   141    1  429
  5.08   1.82   0.91 345.54   141    1  429
  4.40   1.30   1.20 345.56   134    1  229
  4.84   1.65  -0.00 345.64   136    1  229
  4.73   2.01   0.28 345.50   136    1  829
  4.53   1.65   1.16 345.58   138    1  429
  4.63   1.65   0.84 345.60   138    1  429
  4.39   2.31   0.89 345.60   137    1  629
  3.77   1.38   1.56 345.66   137    1  629
  1.80  -0.01   2.19 345.68   143    1  629
  1.68  -1.49   3.99 345.64   139    1  629
  3.38  -0.00   2.59 345.58   139    1  429
  3.65   1.30   0.83 345.60   139    1  429
  5.00   1.82   0.76 345.62   139    1  429
  6.09   2.04   1.12 345.56   138    1  229
  6.70   3.14   0.75 345.50   138    1  229
  6.98   3.78   0.51 345.50   138    1  229
  7.38   4.17   0.37 345.52   136    1  229
  6.76   4.40  -0.18 345.42   136    1  429
  6.75   3.67   0.50 345.52   137    1  429
